parte,categoria,requisito,status,evidencia,pendencia,prioridade
"Parte III","Modelagem","Representar solução como ordem de visita dos coletáveis","Feito","src/utils/buscas/local/hill_climbing.py e simulated_annealing.py usam ordem_coletaveis e rota_macro","Explicar representação no relatório","Média"
"Parte III","Função de custo","Calcular C(s)=d(A,C1)+...+d(Ck,B) usando A* ou UCS","Feito","src/utils/menor_caminho.py calcula matriz de distâncias via UCS","Tratar explicitamente casos de custo infinito em mapas inválidos/ocultos","Média"
"Parte III","Algoritmos locais","Implementar Hill Climbing","Feito","src/utils/buscas/local/hill_climbing.py; resultados_hill_climbing.csv cobre 50 mapas","Salvar se parou em mínimo local no CSV, se quiser análise direta","Média"
"Parte III","Algoritmos locais","Implementar Simulated Annealing","Feito","src/utils/buscas/local/simulated_annealing.py; resultados_simulated_annealing.csv cobre 50 mapas","Salvar temperatura inicial e taxa de resfriamento no CSV","Alta"
"Parte III","Vizinhança","Justificar vizinhança escolhida","Parcial","Código usa troca de dois pontos em gerar_vizinhos_por_troca","Descrever e justificar no relatório técnico","Alta"
"Parte III","Métricas locais","Medir melhor custo, pior custo, custo médio, tempo médio, iterações médias, curva de convergência e taxa de sucesso","Parcial","CSVs locais têm custo, tempo, iteracoes, curva_convergencia; notebook Parte III calcula resumo","CSV não salva parâmetros de SA; taxa de sucesso depende de definição operacional; falta análise escrita final","Alta"
"Parte III","Gráfico","Gerar gráfico iteração x melhor custo","Parcial","notebooks/parte_03_busca_local_analise.ipynb gera curva de convergência","Executar notebook e exportar gráfico/imagem ou incluir no relatório PDF","Alta"
"Parte III","Análise","Responder questões sobre mínimos locais, SA, temperatura, resfriamento, otimalidade, tempo vs qualidade","Parcial","notebooks/parte_03_busca_local_analise.ipynb contém roteiro e gráficos","Faltam dados de temp_inicial/taxa_resfriamento; precisa texto final no relatório","Alta"
"Parte IV","Online","Implementar busca online em ambiente desconhecido","Feito","src/utils/buscas/online/online_a_star.py implementa Online A* com mapa interno e replanejamento","Regenerar resultados depois da correção recente do algoritmo","Alta"
"Parte IV","Mapa interno","Manter mapa interno desconhecido e atualizar com percepções","Feito","online_a_star.py inicializa grid_interno com '?' e revela vizinhança local","Salvar mapa interno final/snapshots se quiser comprovar convergência no relatório","Média"
"Parte IV","Ciclo online","Executar perceber -> atualizar mapa interno -> planejar -> agir","Feito","online_a_star.py foi ajustado para replanejar a cada ciclo","Regenerar resultado_online_a_star.csv para refletir a versão corrigida","Alta"
"Parte IV","Estratégia","Implementar Opção A Replanning com A* ou Opção B Online DFS","Feito","Opção A implementada em src/utils/buscas/online/online_a_star.py","Documentar a escolha no relatório técnico","Alta"
"Parte IV","Métricas online","Registrar sucesso, movimentos, custo real, células reveladas, revisitadas e replanejamentos","Feito","datasets/resultado_online_a_star.csv contém sucesso,custo,passos,celulas_reveladas,celulas_revisitadas,replanejamentos","CSV atual cobre apenas 25 mapas e parece antigo; regenerar após correção","Alta"
"Parte IV","Comparação offline","Calcular razão online/offline","Parcial","notebooks/parte_04_busca_online_analise.ipynb compara com resultado_a_star.csv","CSV online atual tem 21 razões < 1, indicando dados inconsistentes/antigos; regenerar","Alta"
"Parte IV","Cobertura experimental","Rodar online em mapas avaliados","Parcial","resultado_online_a_star.csv tem 25 IDs únicos de 50 mapas","Gerar resultados para os 25 mapas faltantes ou justificar filtro por tamanho","Alta"
"Parte IV","Análise","Responder questões sobre decisões subótimas, informação faltante, convergência do mapa, revisitas, exploração, diferença online vs clássica","Parcial","notebooks/parte_04_busca_online_analise.ipynb contém roteiro e gráficos","Precisa CSV online regenerado e texto final no relatório","Alta"
"Parte VIII","Visualização","Mostrar mapa original","Parcial","notebooks/parte_05_visualizacao_obrigatoria.ipynb desenha mapa original; menu_simulacao mostra terminal","Executar notebook e exportar imagem ou incluir no relatório final","Média"
"Parte VIII","Visualização","Mostrar caminho encontrado","Parcial","notebooks/parte_05_visualizacao_obrigatoria.ipynb desenha caminho A*; menu_simulacao anima caminho","Exportar gráfico/imagem para entrega final","Média"
"Parte VIII","Visualização","Mostrar nós expandidos ou visitados","Pendente","CSVs não salvam lista de nós expandidos/visitados, apenas contagem e caminho final","Modificar algoritmos para registrar histórico de expandidos/visitados se necessário","Alta"
"Parte VIII","Visualização","Mostrar trajetória online passo a passo","Parcial","menu_simulacao.py anima Online A* no terminal; notebook Parte V reconstrói frame textual","Salvar exemplo/print ou exportar animação/imagem para relatório","Média"
"Parte VIII","Visualização","Mostrar rota otimizada da busca local","Parcial","notebooks/parte_05_visualizacao_obrigatoria.ipynb desenha melhor rota Hill Climbing","Exportar gráfico/imagem para relatório","Média"
"Parte IX","Cronograma Semana 1","Modelagem PEAS, formulação, leitura de mapas, BFS/DFS/UCS/Gulosa/A*, primeiros experimentos","Parcial","Código e notebooks existem; CSVs clássicos quase completos","Completar DFS, corrigir métricas e consolidar relatório","Alta"
"Parte IX","Cronograma Semana 2","Modelagem coletas, Hill Climbing, SA, gráficos de convergência, análise de mínimos locais","Parcial","Busca local implementada, CSVs e notebook Parte III existem","Salvar parâmetros de SA e finalizar análise textual/gráficos exportados","Alta"
"Parte IX","Cronograma Semana 3","Online, visualização, relatório técnico, uso_ia.md, testes ocultos","Parcial","Online implementado/corrigido; visualização e notebooks existem","Regenerar online, completar uso_ia.md e relatório técnico PDF","Alta"
"Parte X","Uso de IA","Entregar uso_ia.md com 7 itens obrigatórios","Pendente","uso_ia.md só lista ferramentas e inicia seção de prompts","Completar ferramentas, prompts, código sugerido, sugestões rejeitadas, erros da IA, validação e modificações","Alta"
"Parte XI","Entregáveis","Código-fonte Python","Feito","src/, main.py, requirements.txt","Limpar arquivos auxiliares e garantir instrução correta de execução","Média"
"Parte XI","Entregáveis","Mapas utilizados","Feito","datasets/mazes.csv e datasets/mazes/*.txt com 50 mapas","Conferir se professor exige mapas ocultos/testes adicionais","Baixa"
"Parte XI","Entregáveis","README.md","Parcial","README.md existe","Corrigir comando de execução e explicar menus, notebooks, dados e reprodução dos resultados","Alta"
"Parte XI","Entregáveis","Relatório técnico em PDF","Pendente","Não há relatório técnico PDF no repositório","Escrever 6 a 10 páginas e exportar para PDF","Alta"
"Parte XI","Entregáveis","Resultados experimentais em CSV","Parcial","datasets contém CSVs de clássicas, local e online","Corrigir DFS/online, métricas explorados/fronteira e regenerar resultados","Alta"
"Parte XI","Entregáveis","Gráficos de desempenho","Parcial","Notebooks novos geram gráficos, mas não há PNG/PDF exportado no repositório","Executar notebooks e exportar gráficos para arquivos ou relatório","Alta"
"Parte XI","Entregáveis","Apresentação em sala","Pendente","Nenhum arquivo de apresentação encontrado","Preparar slides/roteiro de defesa","Média"
"Parte XII","Relatório técnico","Incluir introdução","Pendente","Não há relatório técnico PDF/MD final","Escrever seção de introdução","Alta"
"Parte XII","Relatório técnico","Incluir modelagem PEAS","Parcial","notebook Parte I contém base","Transferir para relatório final","Alta"
"Parte XII","Relatório técnico","Incluir formulação formal dos problemas","Parcial","notebook Parte I contém base","Transferir e detalhar no relatório final","Alta"
"Parte XII","Relatório técnico","Incluir descrição dos algoritmos","Parcial","Código implementa algoritmos; notebooks citam análises","Escrever descrição clara de BFS, DFS, UCS, Gulosa, A*, HC, SA e Online A*","Alta"
"Parte XII","Relatório técnico","Incluir metodologia experimental","Parcial","datasets e notebooks mostram 50 mapas e análises","Documentar geração de mapas, número de execuções, parâmetros e ambiente","Alta"
"Parte XII","Relatório técnico","Incluir resultados e gráficos","Parcial","Notebooks Parte II, III, IV e V geram tabelas/gráficos","Executar notebooks após regenerar dados e inserir no PDF","Alta"
"Parte XII","Relatório técnico","Incluir análise crítica e limitações","Parcial","Notebooks têm roteiros; revisão identificou limitações","Escrever análise final com limitações de métricas, online e busca local","Alta"
"Parte XII","Relatório técnico","Incluir uso de IA e conclusão","Pendente","uso_ia.md incompleto; sem conclusão formal","Completar auditoria de IA e conclusão do relatório","Alta"
"Rubrica","Pontuação","Modelagem do agente e PEAS - 10 pontos","Parcial","notebook Parte I existe","Finalizar no relatório técnico","Alta"
"Rubrica","Pontuação","Formulação formal dos problemas - 10 pontos","Parcial","notebook Parte I existe","Finalizar no relatório técnico","Alta"
"Rubrica","Pontuação","Busca clássica implementada e comparada - 15 pontos","Parcial","Algoritmos existem; notebook Parte II existe; DFS/dados/métricas precisam correção","Regenerar dados e finalizar análise","Alta"
"Rubrica","Pontuação","Busca local implementada e analisada - 15 pontos","Parcial","HC/SA implementados, CSVs e notebook existem","Adicionar parâmetros de SA ou justificar ausência; finalizar análise","Alta"
"Rubrica","Pontuação","Busca online implementada e analisada - 15 pontos","Parcial","Online A* implementado/corrigido, notebook existe","Regenerar CSV online completo e refazer análise","Alta"
"Rubrica","Pontuação","Visualização e usabilidade - 10 pontos","Parcial","menu_simulacao.py e notebook de visualização existem","Exportar evidências e registrar nós visitados/expandidos se exigido","Alta"
"Rubrica","Pontuação","Experimentos, métricas e gráficos - 10 pontos","Parcial","CSVs e notebooks existem","Corrigir lacunas de DFS/online/explorados/fronteira e exportar gráficos","Alta"
"Rubrica","Pontuação","Relatório técnico - 10 pontos","Pendente","Não há PDF final","Escrever e exportar relatório técnico","Alta"
"Rubrica","Pontuação","Auditoria do uso de IA - 5 pontos","Pendente","uso_ia.md incompleto","Completar arquivo obrigatório","Alta"
